       name       |  count  
 OLCAY            |   16244
 ESE              |   16216
 HUSAMETTIN       |   16152
 BUSRA            |   16092
 FEHIME           |   16058
 NAIL             |   16049
 GULHANIM         |   15928
 TEKIN            |   15876
 NECIP            |   15874
 CEMALETTIN       |   15865
 OYA              |   15857
 SIDDIKA          |   15776
 GUNGOR           |   15768
 SELVI            |   15756
 FIRDES           |   15730
 BIRCAN           |   15712
 MURUVVET         |   15695
 GURKAN           |   15658
 DIDEM            |   15465
 HIDIR            |   15457
 TESLIME          |   15432
 CAN              |   15393
 HAMIYET          |   15365
 MESUDE           |   15325
 TALIP            |   15302
 CAHIDE           |   15129
 BANU             |   15080
 REFIK            |   15079
 ZARIFE           |   15005
 OGUZHAN          |   14995
 HALIM            |   14984
 GURBET           |   14951
 NEFISE           |   14892
 BERRIN           |   14889
 GULUMSER         |   14845
 MUTLU            |   14843
 SEHRIBAN         |   14758
 HANIFI           |   14756
 BAKI             |   14743
 UMMAHAN          |   14716
 TULIN            |   14707
 MENEKSE          |   14693
 HASIM            |   14639
 MUMIN            |   14631
 ISMAIL HAKKI     |   14613
 MIYASE           |   14612
 MUKERREM         |   14590
 ABDULKERIM       |   14514
 SENEL            |   14506
 GULBEYAZ         |   14486
 ALEV             |   14464
 ATIYE            |   14237
 PELIN            |   14220
 GOZDE            |   14200
 FETHI            |   14166
 RASIT            |   14147
 HALIDE           |   14060
 RESIT            |   14031
 GURSEL           |   14025
 SERMIN           |   14007
 ERGIN            |   13997
 GALIP            |   13945
 MURVET           |   13928
 SEVKI            |   13923
 YADIGAR          |   13915
 NADIR            |   13874
 RESAT            |   13826
 EREN             |   13779
 NECIBE           |   13709
 GIZEM            |   13669
 GUNES            |   13644
 SEMSI            |   13627
 MIKAIL           |   13611
 BINNAZ           |   13604
 MUKADDER         |   13561
 SENNUR           |   13518
 SAIM             |   13500
 GUVEN            |   13417
 MENSURE          |   13332
 CAVIT            |   13315
 LOKMAN           |   13288
 LALE             |   13268
 KERIME           |   13261
 SEMSETTIN        |   13251
 NERGIZ           |   13217
 NAZIME           |   13194
 ZEYNEL           |   13047
 MURSEL           |   12959
 ABDURRAHIM       |   12915
 ASLIHAN          |   12907
 TUGCE            |   12869
 SECIL            |   12854
 PERVIN           |   12833
 MUJGAN           |   12820
 ASLAN            |   12813
 OZAN             |   12809
 SENER            |   12783
 HURU             |   12728
 KIRAZ            |   12700
 ENDER            |   12681
 GULPERI          |   12656
 SEYIT            |   12602
 SABIRE           |   12574
 GULSUN           |   12550
 GAZI             |   12474
 MUSTAFA KEMAL    |   12471
 OMUR             |   12442
 CANSU            |   12431
 OZDEN            |   12431
 REFIKA           |   12428
 KAMURAN          |   12197
 BEHICE           |   12193
 NAIM             |   12186
 AYTEKIN          |   12137
 OZER             |   12130
 UZEYIR           |   12104
 KADRI            |   12075
 SUKRUYE          |   12052
 ZERRIN           |   12032
 TURHAN           |   12026
 MUALLA           |   12005
 ABIDIN           |   11997
 FAZLI            |   11990
 TEMEL            |   11988
 SEYMA            |   11934
 MITHAT           |   11930
 SUNAY            |   11823
 BILGE            |   11816
 AYISE            |   11813
 HALUK            |   11697
 SAMIYE           |   11655
 ESAT             |   11640
 HURI             |   11633
 ERGUL            |   11543
 SEZER            |   11537
 ARSLAN           |   11449
 ESENGUL          |   11434
 NEVRIYE          |   11354
 ULVIYE           |   11350
 SARIYE           |   11338
 BUKET            |   11329
 RUSTEM           |   11312
 KORAY            |   11282
 ETHEM            |   11177
 TUNCER           |   11102
 MUCAHIT          |   11073
 EZGI             |   11038
 SELIN            |   11015
 ALTUN            |   10944
 AVNI             |   10935
 GONCA            |   10915
 LATIF            |   10894
 MEHMET NURI      |   10888
 NAZIF            |   10881
 FAZILET          |   10865
 RESMIYE          |   10864
 SAFFET           |   10860
 ABUZER           |   10827
 GUZEL            |   10821
 EMRIYE           |   10813
 SELMAN           |   10793
 SUNDUS           |   10780
 ABBAS            |   10774
 FATMANA          |   10764
 MECIT            |   10752
 IMRAN            |   10730
 NAZIK            |   10690
 EVREN            |   10592
 MURADIYE         |   10579
 SEVGUL           |   10555
 SEYDA            |   10542
 HICRAN           |   10522
 FEYZULLAH        |   10518
 VAHIT            |   10510
 SADET            |   10501
 ISLIM            |   10492
 SADI             |   10488
 CEVAHIR          |   10474
 RECAI            |   10429
 AYSER            |   10393
 UNZILE           |   10352
 SEFIK            |   10343
 DURIYE           |   10343
 GOKSEL           |   10333
 BAHADIR          |   10303
 EDIBE            |   10297
 YUNUS EMRE       |   10271
 CELALETTIN       |   10270
 MEHMET SAIT      |   10229
 GULESER          |   10201
 MUHTEREM         |   10158
 AYSE GUL         |   10143
 GULTEKIN         |   10024
 SOLMAZ           |   10018
 BEYTULLAH        |   10006
 MEHMET ZEKI      |    9982
 EYLEM            |    9971
 MUYESSER         |    9962
 CELIL            |    9935
 MERT             |    9917
 NADIYE           |    9916
 TALAT            |    9913
 HULUSI           |    9898
 BEHCET           |    9896
 MEHMET AKIF      |    9896
 CAGLAR           |    9855
 FEYZI            |    9838
 KIBAR            |    9830
 KOKSAL           |    9828
 GULNUR           |    9814
 ALAETTIN         |    9782
 ERSAN            |    9740
 BURCIN           |    9721
 IKBAL            |    9674
 SEYFI            |    9668
 NILAY            |    9663
 HAZAL            |    9622
 DURKADIN         |    9617
 AYTAC            |    9592
 ATILA            |    9590
 ISKENDER         |    9589
 ULKER            |    9576
 MEHMET SIRIN     |    9567
 VASFIYE          |    9566
 NUR              |    9559
 ISHAK            |    9546
 AYCAN            |    9530
 NUH              |    9529
 MELIH            |    9527
 CIHAT            |    9522
 ERAY             |    9520
 YILDIRIM         |    9508
 FERDA            |    9486
 HASRET           |    9468
 MIHRIBAN         |    9452
 HUSNA            |    9437
 ABDULAZIZ        |    9408
 GULUSTAN         |    9398
 NEJDET           |    9369
 SAFAK            |    9361
 BAHTIYAR         |    9337
 IMDAT            |    9256
 SEDEF            |    9243
 MEHMET FATIH     |    9228
 SUMEYRA          |    9191
 HAYRULLAH        |    9189
 FERIHA           |    9171
 NEBIYE           |    9167
 TENZILE          |    9155
 JALE             |    9114
 ENES             |    9107
 SECKIN           |    9101
 BASRI            |    9078
 FERHAN           |    9039
 OKKES            |    9018
 YILDIRAY         |    8998
 ESEN             |    8980
 SIDDIK           |    8975
 SEHMUS           |    8916
 ATIKE            |    8896
 NEZIHE           |    8881
 ABDULBAKI        |    8864
 CUMHUR           |    8857
 EMIR             |    8851
 MUGE             |    8827
 HABIP            |    8805
 DERVIS           |    8803
 FATIMA           |    8759
 MEMNUNE          |    8720
 SEYRAN           |    8711
 BEDRI            |    8695
 IZZETTIN         |    8692
 NEDIME           |    8685
 SADULLAH         |    8671
 TACETTIN         |    8664
 MUMINE           |    8632
 GULLUZAR         |    8630
 DURMUS ALI       |    8613
 TUFAN            |    8613
 HIMMET           |    8609
 GULFIDAN         |    8562
 SITKI            |    8505
 GURCAN           |    8482
 GAZAL            |    8416
 NECAT            |    8379
 HASAN ALI        |    8377
 MULKIYE          |    8349
 ZUHRE            |    8341
 BIRSEL           |    8265
 HANDE            |    8220
 DAMLA            |    8207
 EDIP             |    8196
 FULYA            |    8194
 NEBI             |    8192
 MASALLAH         |    8157
 SARE             |    8153
 MEHMET SERIF     |    8085
 SACIDE           |    8057
 SALIHE           |    8054
 FERDANE          |    8048
 MERCAN           |    8019
 RAIF             |    8005
 MENDERES         |    7984
 BEYAZ            |    7937
 SATIYE           |    7924
 CENK             |    7894
 NARIN            |    7882
 KAHRAMAN         |    7867
 BESIR            |    7862
 YENER            |    7853
 HAKIME           |    7839
 FERIDUN          |    7836
 ABDULVAHAP       |    7776
 ESMER            |    7748
 KAYA             |    7738
 FADILE           |    7728
 ISIL             |    7717
 NADIDE           |    7713
 UNZULE           |    7710
 PENBE            |    7691
 ZINNET           |    7640
 ANIL             |    7637
 KAMER            |    7619
 ASKIN            |    7586
 YAGMUR           |    7570
 BEKTAS           |    7570
 LUTFU            |    7545
 GOKCE            |    7535
 GULDEREN         |    7524
 EBUBEKIR         |    7494
 ALIM             |    7491
 SAIDE            |    7411
 SEBILE           |    7401
 GOKMEN           |    7394
 NEVIM            |    7297
 CEYHAN           |    7283
 SINASI           |    7280
 NAZILE           |    7274
 ALPASLAN         |    7270
 RAHIM            |    7255
 GANIME           |    7247
 NUMAN            |    7241
 CEBRAIL          |    7212
 CEYHUN           |    7192
 BEDIHA           |    7192
 VEHBI            |    7148
 MEMIS            |    7077
 ALI KEMAL        |    7054
 FADIMANA         |    7038
 CEYDA            |    7036
 GULFER           |    7029
 SEZEN            |    7011
 SENIHA           |    6992
 MURUVET          |    6986
 NESET            |    6977
 ESER             |    6973
 BURHANETTIN      |    6971
 SAFINAZ          |    6962
 REFIYE           |    6961
 SUMEYYE          |    6957
 NEZIR            |    6954
 IKRAM            |    6943
 SEBNEM           |    6934
 FATOS            |    6925
 SEVDIYE          |    6924
 AYSENUR          |    6891
 HACIRE           |    6888
 BASAK            |    6878
 SONAY            |    6831
 ISMIHAN          |    6810
 BILGIN           |    6802
 MUHSINE          |    6791
 ZENNURE          |    6773
 MECBURE          |    6764
 CEREN            |    6747
 MUHLIS           |    6713
 SUAYIP           |    6701
 ASYA             |    6648
 VURAL            |    6634
 SAHIDE           |    6615
 ALTAN            |    6610
 RUHI             |    6578
 ECE              |    6558
 MUBERRA          |    6550
 GULI             |    6542
 SARA             |    6539
 GURBUZ           |    6530
 HACI MEHMET      |    6493
 KAAN             |    6477
 TANJU            |    6470
 FUSUN            |    6405
 MUNISE           |    6399
 FESIH            |    6379
 ERMAN            |    6353
 HALE             |    6344
 OZAY             |    6332
 MEHMET SELIM     |    6309
 SABIT            |    6307
 SEHRIYE          |    6229
 DILAVER          |    6228
 BESRA            |    6221
 RAIFE            |    6204
 ISLAM            |    6195
 HADIYE           |    6191
 HABIB            |    6179
 EMIS             |    6175
 SEMAHAT          |    6175
 GULCIHAN         |    6168
 TUGRUL           |    6158
 METE             |    6156
 BELMA            |    6152
 PEMBE            |    6134
 MEMDUH           |    6125
 BAYRAM ALI       |    6122
 ISMAHAN          |    6105
 AYCA             |    6078
 ETEM             |    6073
 ABDULHAMIT       |    6070
 AYDAN            |    6066
 SALAHATTIN       |    6061
 BATTAL           |    6020
 SEYFULLAH        |    6016
 VAHAP            |    5998
 AKILE            |    5997
 SELVINAZ         |    5992
 ENIS             |    5985
 NURDANE          |    5980
 PENPE            |    5975
 CAGRI            |    5972
 HUMEYRA          |    5971
 MEHMET CAN       |    5947
 ALAADDIN         |    5945
 ALICAN           |    5906
 YUNIS            |    5901
 NIHAN            |    5899
 IREM             |    5896
 GUZIDE           |    5895
 TELLI            |    5887
 ZEKAI            |    5882
 ALI HAYDAR       |    5868
 OSMAN NURI       |    5860
 HAYAT            |    5850
 ZINET            |    5836
 ATAKAN           |    5834
 BEDRETTIN        |    5834
 SOHRET           |    5823
 ONER             |    5812
 SUPHI            |    5798
 YURDANUR         |    5772
 ZULKUF           |    5768
 RUSTU            |    5767
 NAMIK            |    5761
 MURSIDE          |    5748
 HACI ALI         |    5740
 EMSAL            |    5725
 SERHAN           |    5708
 GURCU            |    5705
 MENEVSE          |    5683
 MEDENI           |    5675
 SADUMAN          |    5656
 FEYZA            |    5651
 FERAY            |    5645
 HAMDULLAH        |    5640
 DINCER           |    5596
 BORA             |    5594
 MUSTAFA ALI      |    5576
 ABDI             |    5574
 KEMALETTIN       |    5570
 BELKIS           |    5567
 ISRAFIL          |    5541
 SUNDUZ           |    5527
 BINALI           |    5518
 NESIME           |    5490
 SEYITHAN         |    5488
 KUBILAY          |    5486
 AZMI             |    5485
 DURSUN ALI       |    5483
 ZULFU            |    5469
 SEYDI            |    5468
 ZULBIYE          |    5463
 SAYIME           |    5437
 GULLER           |    5422
 IMAM             |    5412
 VAHDETTIN        |    5408
 KURSAT           |    5399
 SATU             |    5384
 FADIK            |    5378
 BAKIYE           |    5377
 HILMIYE          |    5375
 AHMET ALI        |    5337
 BESIME           |    5329
 MEHMET SIDDIK    |    5329
 ZEYCAN           |    5321
 SEVTAP           |    5302
 UNSAL            |    5298
 ERSOY            |    5297
 HASINE           |    5285
 SEMSE            |    5270
 HAVANA           |    5265
 MUNIR            |    5264
 AKGUL            |    5253
 ULAS             |    5244
 BILGI            |    5240
 UMMUHANI         |    5234
 GULUSAN          |    5233
 EVRIM            |    5226
 NAFIZ            |    5224
 SAKIRE           |    5214
 MUJDAT           |    5204
 AFIFE            |    5197
 MEHMET HANIFI    |    5195
 SEHNAZ           |    5190
 FETIYE           |    5176
 PAMUK            |    5155
 SALIME           |    5131
 GULEN            |    5131
 FURKAN           |    5102
 MELIHAT          |    5084
 TUNA             |    5042
 SEVKIYE          |    5025
 ALIRIZA          |    5024
 UMMUGUL          |    5011
 FERUDUN          |    4980
 SUPHIYE          |    4980
 FAYSAL           |    4945
 HACI AHMET       |    4935
 NAZIKE           |    4917
 ZUMRUT           |    4901
 CIHANGIR         |    4898
 GULEY            |    4898
 MURTAZA          |    4892
 FAZIL            |    4885
 ERDI             |    4883
 KERIMAN          |    4881
 HASAN BASRI      |    4860
