     name      |  count  |  id   
 SEMIH         |   20898 | 57471
 HANDAN        |   20683 | 58278
 ESIN          |   20547 | 57953
 RABIYE        |   20524 | 57813
 TAYFUN        |   20487 | 57079
 SABAHAT       |   20399 | 57340
 OZGUL         |   20399 | 57265
 RAHMI         |   20344 | 57669
 ERTAN         |   20221 | 57246
 SEFER         |   20080 | 58522
 SADETTIN      |   20072 | 57740
 NACI          |   20053 | 58233
 SEBIHA        |   20016 | 57663
 ERTUGRUL      |   19985 | 57573
 BUNYAMIN      |   19919 | 59435
 AYLIN         |   19916 | 57667
 MUSERREF      |   19876 | 57921
 NEZAKET       |   19586 | 58650
 CEVAT         |   19578 | 58245
 IBRAHIM HALIL |   19577 | 59596
 NAFIYE        |   19543 | 58531
 LATIFE        |   19535 | 58235
 EYYUP         |   19494 | 58011
 HADICE        |   19493 | 60162
 CEVRIYE       |   19475 | 57705
 AYSEN         |   19459 | 57807
 SEHRI         |   19427 | 57538
 ESREF         |   19353 | 58700
 GUNER         |   19321 | 57808
 AKIF          |   19217 | 57638
 FERDI         |   19189 | 59024
 AYKUT         |   19113 | 58536
 HAMDIYE       |   19093 | 58440
 SULE          |   19024 | 58134
 GULISTAN      |   18976 | 58133
 GULSER        |   18884 | 58065
 NAGIHAN       |   18874 | 58661
 NAHIDE        |   18843 | 57851
 GULNAZ        |   18807 | 57905
 HAYATI        |   18728 | 57910
 YURDAGUL      |   18627 | 57678
 SEVCAN        |   18602 | 58117
 UMRAN         |   18566 | 57369
 VAHIDE        |   18509 | 57276
 FIKRI         |   18500 | 57938
 MUHAMMED      |   18379 | 59113
 ILHAMI        |   18335 | 57850
 SERCAN        |   18300 | 58190
 SEZAI         |   18262 | 57604
 FERIT         |   18257 | 58337
 NESIBE        |   18250 | 58052
 FETHIYE       |   18214 | 57434
 ZULFIYE       |   18176 | 58266
 ERDINC        |   18081 | 57856
 ILKAY         |   18081 | 57658
 SELVER        |   17988 | 57803
 FEVZIYE       |   17969 | 58406
 EMRULLAH      |   17851 | 58479
 BELGIN        |   17708 | 57584
 BEDIA         |   17694 | 60035
 RAFET         |   17663 | 57220
 NADIRE        |   17615 | 57820
 NIZAMETTIN    |   17615 | 58511
 MEHMET SALIH  |   17601 | 58907
 SABAHATTIN    |   17420 | 59031
 ADALET        |   17396 | 59610
 OMER FARUK    |   17296 | 58711
 NURULLAH      |   17291 | 58737
 MAHIR         |   17235 | 57461
 KEREM         |   17164 | 57375
 MUNIRE        |   17107 | 57830
 LEMAN         |   17031 | 58018
 GULDEN        |   17030 | 57608
 NEZIHA        |   16946 | 58276
 NURHAYAT      |   16943 | 58110
 SIRIN         |   16933 | 58552
 CICEK         |   16931 | 58593
 NUSRET        |   16869 | 57883
 SEYHMUS       |   16838 | 58125
 BERNA         |   16824 | 57394
 AYGUL         |   16760 | 57361
 CEYLAN        |   16757 | 59613
 ELVAN         |   16692 | 58467
 AKIN          |   16670 | 58672
 ALAATTIN      |   16655 | 58717
 ASIM          |   16648 | 57779
 NALAN         |   16603 | 58778
 SERDAL        |   16499 | 57380
 CUMALI        |   16464 | 57620
 FAIK          |   16421 | 57256
 VEYSI         |   16415 | 58732
 CANER         |   16369 | 57785
 SEFA          |   16367 | 58972
 NECMI         |   16341 | 58129
 OLCAY         |   16244 | 57381
 ESE           |   16216 | 59712
 HUSAMETTIN    |   16152 | 57116
 BUSRA         |   16092 | 59199
 FEHIME        |   16058 | 58253
 NAIL          |   16049 | 57919
 GULHANIM      |   15928 | 57325
 TEKIN         |   15876 | 57297
 NECIP         |   15874 | 57980
 CEMALETTIN    |   15865 | 59097
 OYA           |   15857 | 57866
 SIDDIKA       |   15776 | 59094
 GUNGOR        |   15768 | 57316
 SELVI         |   15756 | 59637
 FIRDES        |   15730 | 57531
 BIRCAN        |   15712 | 57964
 MURUVVET      |   15695 | 58714
 GURKAN        |   15658 | 57308
 DIDEM         |   15465 | 58300
 HIDIR         |   15457 | 57515
 TESLIME       |   15432 | 60209
 CAN           |   15393 | 58082
 HAMIYET       |   15365 | 58540
 MESUDE        |   15325 | 57421
 TALIP         |   15302 | 58505
 CAHIDE        |   15129 | 58608
 BANU          |   15080 | 57502
 REFIK         |   15079 | 57906
 ZARIFE        |   15005 | 57681
